Function,Usage,Explanation
AVG(),"AVG([DISTINCT|ALL], expr) [OVER(analytic_clause)]","AVG returns average value of expr.
This function takes as an argument any numeric data type or any nonnumeric data type that can be implicitly converted to a numeric data type. The function returns the same data type as the numeric data type of the argument."
COALESCE(),"COALESCE(expr, expr, [expr],...)","COALESCE returns the first non-null expr in the expression list. You must specify at least two expressions. If all occurrences of expr evaluate to null, then the function returns null.

Oracle Database uses short-circuit evaluation. The database evaluates each expr value and determines whether it is NULL, rather than evaluating all of the expr values before determining whether any of them is NULL.

If all occurrences of expr are numeric data type or any nonnumeric data type that can be implicitly converted to a numeric data type, then Oracle Database determines the argument with the highest numeric precedence, implicitly converts the remaining arguments to that data type, and returns that data type."
COUNT(),COUNT({* | [DISTINCT|ALL] expr}) [OVER (analytic_clause)],COUNT returns the number of rows returned by the query. You can use it as an aggregate or analytic function.
DBMS_RANDOM.VALUE(),"DBMS_RANDOM.VALUE()
DBMS_RANDOM.VALUE(A, B)","不带参数：
DBMS_RANDOM.VALUE()
返回一个具有38位精度的数值，范围为 [0.0, 1.0)

带有两个参数：
DBMS_RANDOM.VALUE(A, B)
第一个指下限，第二个指上限，随机数范围为 [A, B)"
INSTR(),"{INSTR|INSTRB|INSTRC|INSTR2|INSTR4}(string, substring, [position], [occurrence])","The INSTR functions search string for substring. The search operation is defined as comparing the substring argument with substrings of string of the same length for equality until a match is found or there are no more substrings left. Each consecutive compared substring of string begins one character to the right (for forward searches) or one character to the left (for backward searches) from the first character of the previous compared substring. If a substring that is equal to substring is found, then the function returns an integer indicating the position of the first character of this substring. If no such substring is found, then the function returns zero.

- position is an nonzero integer indicating the character of string where Oracle Database begins the search—that is, the position of the first character of the first substring to compare with substring. If position is negative, then Oracle counts backward from the end of string and then searches backward from the resulting position.

- occurrence is an integer indicating which occurrence of substring in string Oracle should search for. The value of occurrence must be positive. If occurrence is greater than 1, then the database does not return on the first match but continues comparing consecutive substrings of string, as described above, until match number occurrence has been found."
LENGTH(),{LENGTH|LENGTHB|LENGTHC|LENGTH2|LENGTH4}(char),The LENGTH functions return the length of char. LENGTH calculates length using characters as defined by the input character set. LENGTHB uses bytes instead of characters. LENGTHC uses Unicode complete characters. LENGTH2 uses UCS2 code points. LENGTH4 uses UCS4 code points.
LISTAGG(),"LISTAGG([all], measure_expr, ['delimiter'], [listagg_overflow_clause])","For a specified measure, LISTAGG orders data within each group specified in the ORDER BY clause and then concatenates the values of the measure column."
LOWER(),LOWER(char),"LOWER returns char, with all letters lowercase. char can be any of the datatypes CHAR, VARCHAR2, NCHAR, NVARCHAR2, CLOB, or NCLOB. The return value is the same datatype as char. The database sets the case of the characters based on the binary mapping defined for the underlying character set. For linguistic-sensitive lowercase, please refer to NLS_LOWER."
MAX(),"MAX([DISTINCT|ALL], expr) [OVER(analytic_clause)]",MAX returns maximum value of expr. You can use it as an aggregate or analytic function.
MIN(),"MIN([DISTINCT|ALL], expr) [OVER(analytic_clause)]",MIN returns minimum value of expr. You can use it as an aggregate or analytic function.
NVL(),"NVL(expr1, expr2)","NVL lets you replace null (returned as a blank) with a string in the results of a query. If expr1 is null, then NVL returns expr2. If expr1 is not null, then NVL returns expr1.

The arguments expr1 and expr2 can have any data type. If their data types are different, then Oracle Database implicitly converts one to the other. If they cannot be converted implicitly, then the database returns an error. The implicit conversion is implemented as follows:

- If expr1 is character data, then Oracle Database converts expr2 to the data type of expr1 before comparing them and returns VARCHAR2 in the character set of expr1.
- If expr1 is numeric, then Oracle Database determines which argument has the highest numeric precedence, implicitly converts the other argument to that data type, and returns that data type."
REGEXP_COUNT(),"REGEXP_COUNT(source_char, pattern, [position], [match_param])",计算字符串中某个匹配出现的次数。
