Module,Function,Settings,Explanation
argparse,add_argument(name or flags),"[action][nargs][const]
[default][type]
[choices][required]
[help][metavar][dest]","Define how a single command-line argument should be parsed. Each parameter has its own more detailed description below, but in short they are:
**name or flags**
Either a name or a list of option strings, e.g. foo or -f, --foo.
**action**
The basic type of action to be taken when this argument is encountered at the command line.
**nargs**
The number of command-line arguments that should be consumed.
**const**
A constant value required by some action and nargs selections.
**default**
The value produced if the argument is absent from the command line.
**type**
The type to which the command-line argument should be converted.
**choices**
A container of the allowable values for the argument.
**required**
Whether or not the command-line option may be omitted (optionals only).
**help**
A brief description of what the argument does.
**metavar**
A name for the argument in usage messages.
**dest**
The name of the attribute to be added to the object returned by parse_args()."
argparse,ArgumentParser(),description=None,Create a new ArgumentParser object. All parameters should be passed as keyword arguments.
argparse,parse_args(),"args=None, namespace=None",Convert argument strings to objects and assign them as attributes of the namespace. Return the populated namespace.
builtin,bool(),,"bool(x) -> bool
Returns True when the argument x is true, False otherwise. The builtins True and False are the only two instances of the class bool. The class bool is a subclass of the class int, and cannot be subclassed."
builtin,callable(),,"Return True if the object argument appears callable, False if not. If this returns true, it is still possible that a call fails, but if it is false, calling object will never succeed. Note that classes are callable (calling a class returns a new instance); instances are callable if their class has a __call__() method."
builtin,dict(),,"Return a new dictionary initialized from an optional positional argument and a possibly empty set of keyword arguments.
If no positional argument is given, an empty dictionary is created. If a positional argument is given and it is a mapping object, a dictionary is created with the same key-value pairs as the mapping object. Otherwise, the positional argument must be an iterable object. Each item in the iterable must itself be an iterable with exactly two objects. The first object of each item becomes a key in the new dictionary, and the second object the corresponding value. If a key occurs more than once, the last value for that key becomes the corresponding value in the new dictionary."
builtin,dir([object]),,"dir([object]) -> list of strings
If called without an argument, return the names in the current scope. Else, return an alphabetized list of names comprising (some of) the attributes of the given object, and of attributes reachable from it. If the object supplies a method named dir, it will be used; otherwise the default dir() logic is used and returns: for a module object: the module's attributes. for a class object: its attributes, and recursively the attributes of its bases. for any other object: its attributes, its class's attributes, and recursively the attributes of its class's base classes."
builtin,enumerate(iterable),start=0,"Return an enumerate object. iterable must be a sequence, an iterator, or some other object which supports iteration.
The \_\_next\_\_() method of the iterator returned by enumerate() returns a tuple containing a count (from start which defaults to 0) and the values obtained from iterating over iterable."
builtin,float(x),,"float(x) -> floating point number
Convert a string or number to a floating point number, if possible."
builtin,"getattr(object, name)",default=None,"Get a named attribute from an object; getattr(x, 'y') is equivalent to x.y. When a default argument is given, it is returned when the attribute doesn't exist; without it, an exception is raised in that case."
builtin,id(object),,"Return the identity of an object.
This is guaranteed to be unique among simultaneously existing objects. (CPython uses the object's memory address.)"
builtin,input(),"*args, **kwargs","Read a string from standard input.  The trailing newline is stripped.
The prompt string, if given, is printed to standard output without a trailing newline before reading input."
builtin,int(x),base=10,"int(x=0) -> integer
int(x, base=10) -> integer
Convert a number or string to an integer, or return 0 if no arguments are given.  If x is a number, return x.\_\_int\_\_().  For floating point numbers, this truncates towards zero.
If x is not a number or if base is given, then x must be a *string*, *bytes*, or *bytearray* instance representing an integer literal in the given base.  The literal can be preceded by '+' or '-' and be surrounded by whitespace.  The base defaults to 10.  Valid bases are 0 and 2-36. Base 0 means to interpret the base from the string as an integer literal."
builtin,"isinstance(x, A_tuple)",,"Return whether an object is an instance of a class or of a subclass thereof.
A tuple, as in **isinstance(x, (A, B, ...))**, may be given as the target to check against. This is equivalent to **isinstance(x, A) or isinstance(x, B) or ...** etc."
builtin,len(s),,"Return the length (the number of items) of an object. The argument may be a sequence (such as a string, bytes, tuple, list, or range) or a collection (such as a dictionary, set, or frozen set)."
builtin,list(),,"list() -> new empty list
list(iterable) -> new list initialized from iterable's items
The constructor builds a list whose items are the same and in the same order as iterable's items. iterable may be either a sequence, a container that supports iteration, or an iterator object. If iterable is already a list, a copy is made and returned, similar to iterable[:].
Many other operations also produce lists, including the sorted() built-in.
Lists implement all of the **common** and **mutable** sequence operations."
builtin,"map(func, *iterables)",,"Make an iterator that computes the function using arguments from each of the iterables.
Stops when the shortest iterable is exhausted."
builtin,max(*args),key=None,"max(iterable, *[, default=obj, key=func]) -> value
max(arg1, arg2, *args, *[, key=func]) -> value
With a single iterable argument, return its biggest item. The default keyword-only argument specifies an object to return if the provided iterable is empty.
With two or more arguments, return the largest argument."
builtin,min(*args),key=None,"min(iterable, *[, default=obj, key=func]) -> value
min(arg1, arg2, *args, *[, key=func]) -> value
With a single iterable argument, return its smallest item. The default keyword-only argument specifies an object to return if the provided iterable is empty.
With two or more arguments, return the smallest argument."
builtin,open(file),"mode='r', buffering=-1,
encoding=None, errors=None,
newline=None, closefd=True,
opener=None","Open file and return a corresponding file object. If the file cannot be opened, an OSError is raised.
# Return a _io.TextIOWrapper object.
'r' = reading, 'w' = writing, 'a' = writing, appending to the end of the file if it exists."
builtin,print(*objects),"sep=' ', end='\n',
file=sys.stdout, flush=False","Print objects to the text stream file, separated by sep and followed by end. sep, end and file, if present, must be given as keyword arguments."
builtin,range(stop),"start=0, step=1","The arguments to the range constructor must be integers (either built-in int or any object that implements the __index__ special method). If the step argument is omitted, it defaults to 1. If the start argument is omitted, it defaults to 0. If step is zero, ValueError is raised."
builtin,sorted(iterable),"[, key][, reverse]",Return a new sorted list from the items in *iterable*.
builtin,str(),"object='', encoding='utf-8',
errors='strict'","Return a string version of object. If object is not provided, returns the empty string. Otherwise, the behavior of str() depends on whether *encoding* or *errors* is given, as follows."
builtin,sum(iterable),start=0,"Return the sum of a 'start' value (default: 0) plus an iterable of numbers.
When the iterable is empty, return the start value.
This function is intended specifically for use with numeric values and may reject non-numeric types."
builtin,tuple([iterable]),,"tuple() -> empty tuple
tuple(iterable) -> tuple initialized from iterable's items.
If the argument is a tuple, the return value is the same object."
builtin,zip(),*iterables,"Make an iterator that aggregates elements from each of the iterables.
Returns an iterator of tuples, where the i-th tuple contains the i-th element from each of the argument sequences or iterables. The iterator stops when the shortest input iterable is exhausted. With a single iterable argument, it returns an iterator of 1-tuples. With no arguments, it returns an empty iterator.
The left-to-right evaluation order of the iterables is guaranteed. This makes possible an idiom for clustering a data series into n-length groups using zip(*[iter(s)]*n). This repeats the same iterator n times so that each output tuple has the result of n calls to the iterator. This has the effect of dividing the input into n-length chunks.
zip() should only be used with unequal length inputs when you don¡¯t care about trailing, unmatched values from the longer iterables. If those values are important, use itertools.zip_longest() instead.
zip() in conjunction with the * operator can be used to unzip a list."
builtin._io.TextIOWrapper*,read(),[size],"Read and return at most *size* characters from the stream as a single str. If *size* is negative or None, reads until EOF.
-- *size* is not a **Keyword**."
builtin._io.TextIOWrapper*,readline(),size = -1,"Read until newline or **EOF** and return a single str. If the stream is already at **EOF**, an empty string is returned.
If *size* is specified, at most *size* characters will be read.
-- this method will move to the next line automatically.
-- *size* is not a **Keyword**."
builtin._io.TextIOWrapper*,readlines(),hint = -1,"Read and return a list of lines from the stream. *hint* can be specified to control the number of lines read: no more lines will be read if the total size (in bytes/characters) of all lines so far exceeds *hint*.
-- *size* is not a **Keyword**."
builtin._io.TextIOWrapper*,writable(),,"Return whether object was opened for writing.
If Flase, write() will raise OSError."
builtin._io.TextIOWrapper*,write(s),,Write the string s to the stream and return the number of characters written.
builtin._io.TextIOWrapper*,writelines(lines),,"Write a list of lines to the stream. Line separators are not added, so it is usual for each of the lines provided to have a line separator at the end."
builtin.collections,Counter(),[iterable-or-mapping],A Counter is a dict subclass for counting hashable objects. It is an unordered collection where elements are stored as dictionary keys and their counts are stored as dictionary values. Counts are allowed to be any integer value including zero or negative counts. The Counter class is similar to bags or multisets in other languages.
builtin.collections,defaultdict(),"default_factory=None, **kwargs","defaultdict(default_factory[, ...]) --> dict with default factory
The default factory is called without arguments to produce a new value when a key is not present, in __getitem__ only.
A defaultdict compares equal to a dict with the same items.
All remaining arguments are treated the same as if they were passed to the dict constructor, including keyword arguments."
builtin.dict*,clear(),,Remove all items from the dictionary.
builtin.dict*,copy(),,Return a shallow copy of the dictionary.
builtin.dict*,get(key),default=None,"Return the value for key if key is in the dictionary, else default. If default is not given, it defaults to None, so that this method never raises a KeyError."
builtin.dict*,items(),,"Return a new view of the dictionary's items ((key, value) pairs). See the documentation of view objects."
builtin.dict*,keys(),,Return a new view of the dictionary¡¯s keys. See the documentation of view objects.
builtin.dict*,pop(key),[default],"If key is in the dictionary, remove it and return its value, else return default. If default is not given and key is not in the dictionary, a KeyError is raised."
builtin.dict*,popitem(),,"Remove and return an arbitrary (key, value) pair from the dictionary.
popitem() is useful to destructively iterate over a dictionary, as often used in set algorithms. If the dictionary is empty, calling popitem() raises a KeyError."
builtin.dict*,setdefault(key),[default],"If key is in the dictionary, return its value. If not, insert key with a value of default and return default. default defaults to None."
builtin.dict*,update(),[other],"Update the dictionary with the key/value pairs from other, overwriting existing keys. Return None.
update() accepts either another dictionary object or an iterable of key/value pairs (as tuples or other iterables of length two). If keyword arguments are specified, the dictionary is then updated with those key/value pairs: d.update(red=1, blue=2)."
builtin.dict*,values(),,Return a new view of the dictionary¡¯s values. See the documentation of view objects.
builtin.frozenset*,issubset(other),,Test whether every element in the set is in *other*.
builtin.frozenset*,union(*others),,Return a new set with elements from the set and all others.
builtin.itertools,chain(*iterables),,"Make an iterator that returns elements from the first iterable until it is exhausted, then proceeds to the next iterable, until all of the iterables are exhausted. Used for treating consecutive sequences as a single sequence. "
builtin.itertools,"combinations(iterable, r)",,"Return r length subsequences of elements from the input iterable.
Combinations are emitted in lexicographic sort order. So, if the input iterable is sorted, the combination tuples will be produced in sorted order.
Elements are treated as unique based on their position, not on their value. So if the input elements are unique, there will be no repeat values in each combination."
builtin.itertools,"combinations_with_replacement(iterable, r)",,"Return r length subsequences of elements from the input iterable allowing individual elements to be repeated more than once.
Combinations are emitted in lexicographic sort order. So, if the input iterable is sorted, the combination tuples will be produced in sorted order.
Elements are treated as unique based on their position, not on their value. So if the input elements are unique, the generated combinations will also be unique."
builtin.itertools,"compress(data, selectors)",,Make an iterator that filters elements from data returning only those that have a corresponding element in selectors that evaluates to True. Stops when either the data or selectors iterables has been exhausted. 
builtin.itertools,count(),"start=0, step=1","Make an iterator that returns evenly spaced values starting with n. Often used as an argument to imap() to generate consecutive data points. Also, used with izip() to add sequence numbers."
builtin.itertools,"count(start=0, step=1)",,"Make an iterator that returns evenly spaced values starting with number start. Often used as an argument to map() to generate consecutive data points. Also, used with zip() to add sequence numbers."
builtin.itertools,cycle(iterable),,"Make an iterator returning elements from the iterable and saving a copy of each. When the iterable is exhausted, return elements from the saved copy. Repeats indefinitely."
builtin.itertools,"dropwhile(predicate, iterable)",,"Make an iterator that drops elements from the iterable as long as the predicate is true; afterwards, returns every element. Note, the iterator does not produce any output until the predicate first becomes false, so it may have a lengthy start-up time."
builtin.itertools,"filterfalse(predicate, iterable)",,"Make an iterator that filters elements from iterable returning only those for which the predicate is False. If predicate is None, return the items that are false. "
builtin.itertools,"islice(iterable, start, stop)",[step],"Make an iterator that returns selected elements from the iterable. If start is non-zero, then elements from the iterable are skipped until start is reached. Afterward, elements are returned consecutively unless step is set higher than one which results in items being skipped. If stop is None, then iteration continues until the iterator is exhausted, if at all; otherwise, it stops at the specified position. Unlike regular slicing, **islice()** does not support negative values for start, stop, or step. Can be used to extract related fields from data where the internal structure has been flattened (for example, a multi-line report may list a name field on every third line)."
builtin.itertools,"islice(iterable, stop)","start = 0, [step]","islice(iterable, stop) --> islice object
islice(iterable, start, stop[, step]) --> islice object
Return an iterator whose next() method returns selected values from an iterable.  If start is specified, will skip all preceding elements;otherwise, start defaults to zero.
Step defaults to one.
If specified as another value, step determines how many values are skipped between successive calls.  Works like a slice() on a list but returns an iterator.
"
builtin.itertools,permutations(iterable),r=None,"Return successive r length permutations of elements in the iterable.
If r is not specified or is None, then r defaults to the length of the *iterable* and all possible full-length permutations are generated.
Permutations are emitted in lexicographic sort order. So, if the input iterable is *sorted*, the permutation tuples will be produced in sorted order.
Elements are treated as unique based on their position, not on their value. So if the input elements are unique, there will be no repeat values in each permutation."
builtin.itertools,repeat(object),[times],Make an iterator that returns object over and over again. Runs indefinitely unless the times argument is specified. Used as argument to imap() for invariant function parameters. Also used with izip() to create constant fields in a tuple record.
builtin.json,"dump(obj, fp)","skipkeys=False, ensure_ascii=True,
check_circular=True, allow_nan=True,
cls=None, indent=None, separators=None,
default=None, sort_keys=False","Serialize obj as a JSON formatted stream to fp (a .write()-supporting file-like object) using this conversion table.Serialize obj as a JSON formatted stream to fp (a .write()-supporting file-like object) using this conversion table.
**ensure_ascii**
If ``ensure_ascii`` is false, then the strings written to ``fp`` can contain non-ASCII characters if they appear in strings contained in ``obj``. Otherwise, all such characters are escaped in JSON strings."
builtin.json,dumps(obj),"skipkeys=False, ensure_ascii=True
check_circular=True","Serialize ``obj`` to a JSON formatted ``str``.
**ensure_ascii**
If ``ensure_ascii`` is false, then the return value can contain non-ASCII characters if they appear in strings contained in ``obj``. Otherwise, all such characters are escaped in JSON strings.
"
builtin.json,load(fp),"cls=None, object_hook=None,
parse_float=None, parse_int=None,
parse_constant=None,
object_pairs_hook=None",Deserialize fp (a .read()-supporting file-like object containing a JSON document) to a Python object using this conversion table.
builtin.json,loads(s),"encoding=None, cls=None,
object_hook=None, parse_float=None,
parse_int=None, parse_constant=None,
object_pairs_hook=None","Deserialize s (a str, bytes or bytearray instance containing a JSON document) to a Python object using this conversion table."
builtin.list*,append(x),,appends *x* to the end of the sequence (same as s[len(s):len(s)] = [x])
builtin.list*,clear(),,removes all items from s (same as del s[:])
builtin.list*,copy(),,creates a shallow copy of s (same as s[:])
builtin.list*,count(x),,total number of occurrences of *x* in s
builtin.list*,extend(t),,"extends s with the contents of t (for the most part the same as s[len(s):len(s)] = t)
or s += t"
builtin.list*,index(x),"[i[, j]]",Index of the first occurrence of *x* in s (at or after index *i* and before index *j*)
builtin.list*,"insert(i, x)",,inserts x into s at the index given by *i* (same as s[i:i] = [x])
builtin.list*,pop([i]),,retrieves the item at *i* and also removes it from s
builtin.list*,remove(x),,remove the first item from s where s[i] == *x*
builtin.list*,reverse(),,reverses the items of s in place
builtin.list*,sort(*),"key=None, reverse=None","This method sorts the list in place, using only < comparisons between items. Exceptions are not suppressed - if any comparison operations fail, the entire sort operation will fail (and the list will likely be left in a partially modified state)."
builtin.logging,basicConfig(),**kwargs,"Does basic configuration for the logging system by creating a *StreamHandler* with a default Formatter and adding it to the root logger. The functions debug(), info(), warning(), error() and critical() will call basicConfig() automatically if no handlers are defined for the root logger.
This function does nothing if the root logger already has handlers configured for it."
builtin.logging.Logger*,info(msg),"*args, **kwargs",Logs a message with level INFO on this logger. The arguments are interpreted as for debug().
builtin.os,chdir(),,Change the current working directory to the specified path.
builtin.os,getcwd(),,Return a unicode string representing the current working directory.
builtin.os,listdir(path),,Return a list containing the names of the entries in the directory given by path. The list is in arbitrary order. It does not include the special entries '.' and '..' even if they are present in the directory.
builtin.os.path,exists(path),,"Return True if path refers to an existing path or an open file descriptor. Returns False for broken symbolic links. On some platforms, this function may return False if permission is not granted to execute os.stat() on the requested file, even if the path physically exists."
builtin.pickle,"dump(obj, file)","protocol=None, *
fix_imports=True","Write a pickled representation of obj to the open file object file. This is equivalent to Pickler(file, protocol).dump(obj).
# use open(filename, 'wb')"
builtin.pickle,dumps(obj),"protocol=None, *
fix_imports=True","Return the pickled representation of the object as a bytes object, instead of writing it to a file."
builtin.pickle,load(file),"*, fix_imports=True
encoding=""ASCII"", errors=""strict""",Read a pickled object representation from the open file object file and return the reconstituted object hierarchy specified therein. This is equivalent to Unpickler(file).load().
builtin.pickle,loads(bytes_object),"*, fix_imports=True
encoding=""ASCII"", errors=""strict""",Read a pickled object hierarchy from a bytes object and return the reconstituted object hierarchy specified therein.
builtin.random,shuffle(x),[random],"Shuffle the sequence x in place.
The optional argument random is a 0-argument function returning a random float in [0.0, 1.0); by default, this is the function random().
To shuffle an immutable sequence and return a new shuffled list, use sample(x, k=len(x)) instead."
